species,decimalLongitude,decimalLatitude
Lithobates catesbeianus,-77.251747,39.026253
Lithobates catesbeianus,-80.880091,34.19889
Lithobates catesbeianus,-111.770462,33.237142
Lithobates catesbeianus,-65.762518,18.340001
Lithobates catesbeianus,-81.893172,29.658634
Lithobates catesbeianus,-79.397445,40.285978
Lithobates catesbeianus,-64.705506,44.250195
Lithobates catesbeianus,-64.680473,44.307522
Lithobates catesbeianus,-95.268567,29.060717
Lithobates catesbeianus,-89.224882,36.567942
Lithobates catesbeianus,-68.402197,18.659682
Lithobates catesbeianus,-158.036789,21.525975
Lithobates catesbeianus,-84.798088,33.531937
Lithobates catesbeianus,-97.119787,33.08371
Lithobates catesbeianus,-117.402811,33.536351
Lithobates catesbeianus,-78.018303,39.331708
Lithobates catesbeianus,-76.692213,39.493663
Lithobates catesbeianus,-98.162125,33.201663
Lithobates catesbeianus,-96.011137,28.983922
Lithobates catesbeianus,-83.863926,35.988217
Lithobates catesbeianus,-77.575564,37.389089
Lithobates catesbeianus,-124.083069,40.784058
Lithobates catesbeianus,-86.905481,36.060806
Lithobates catesbeianus,-86.32967,39.848774
Lithobates catesbeianus,-89.508768,36.382482
Lithobates catesbeianus,-99.901813,31.968599
Lithobates catesbeianus,-94.706989,31.442597
Lithobates catesbeianus,-83.62862,40.565064
Lithobates catesbeianus,-84.231025,33.805222
Lithobates catesbeianus,-122.181975,47.8741
Lithobates catesbeianus,-91.758842,42.125514
Lithobates catesbeianus,-92.235706,38.588772
Lithobates catesbeianus,-85.765474,41.986124
Lithobates catesbeianus,-81.10481,32.147211
Lithobates catesbeianus,-93.411233,35.97487
Lithobates catesbeianus,-76.92523,38.984397
Lithobates catesbeianus,-85.906686,37.179135
Lithobates catesbeianus,-95.266765,29.682426
Lithobates catesbeianus,-100.153512,41.261921
Lithobates catesbeianus,-84.144638,34.002879
Lithobates catesbeianus,-82.038247,39.352131
Lithobates catesbeianus,-95.422242,31.883325
Lithobates catesbeianus,-71.142439,42.1633
Lithobates catesbeianus,-96.736116,29.094891
Lithobates catesbeianus,-156.535057,20.882917
Lithobates catesbeianus,-123.646491,44.246005
Lithobates catesbeianus,-118.394522,34.210529
Lithobates catesbeianus,-110.714943,31.486689
Lithobates catesbeianus,-122.619877,43.863561
Lithobates catesbeianus,-81.805595,33.554122
Lithobates catesbeianus,-97.747965,29.879881
Lithobates catesbeianus,-74.261353,40.587477
Lithobates catesbeianus,-68.776944,44.92627
Lithobates catesbeianus,-83.439301,31.57357
Lithobates catesbeianus,-97.834076,37.755137
Lithobates catesbeianus,-117.844478,34.042878
Lithobates catesbeianus,-122.473374,45.59992
Lithobates catesbeianus,-80.881212,35.089558
Lithobates catesbeianus,-122.053363,37.220686
Lithobates catesbeianus,-122.730637,38.033711
Lithobates catesbeianus,-91.809725,33.592861
Lithobates catesbeianus,-82.553536,35.533617
