species,decimalLongitude,decimalLatitude
Lithobates catesbeianus,-73.059158,41.262211
Lithobates catesbeianus,-81.805595,33.554122
Lithobates catesbeianus,-74.261353,40.587477
Lithobates catesbeianus,-83.439301,31.57357
Lithobates catesbeianus,-97.834076,37.755137
Lithobates catesbeianus,-122.473374,45.59992
Lithobates catesbeianus,-80.881212,35.089558
Lithobates catesbeianus,-106.076739,35.670298
Lithobates catesbeianus,-122.053363,37.220686
Lithobates catesbeianus,-122.730637,38.033711
Lithobates catesbeianus,-91.809725,33.592861
Lithobates catesbeianus,-95.578689,28.914758
Lithobates catesbeianus,-81.101457,33.917534
Lithobates catesbeianus,-82.553536,35.533617
Lithobates catesbeianus,-79.369869,35.147866
Lithobates catesbeianus,-118.808199,34.351196
Lithobates catesbeianus,-99.572079,32.269884
Lithobates catesbeianus,-122.369812,39.812428
Lithobates catesbeianus,-123.111479,44.080881
Lithobates catesbeianus,-86.414575,38.739194
Lithobates catesbeianus,-86.926304,31.128731
Lithobates catesbeianus,-95.849343,29.790294
Lithobates catesbeianus,-65.695357,18.363063
Lithobates catesbeianus,-118.998734,36.71928
Lithobates catesbeianus,-159.338639,22.01027
Lithobates catesbeianus,-76.255188,45.387813
Lithobates catesbeianus,-105.031221,40.383576
Lithobates catesbeianus,-97.373602,37.790321
Lithobates catesbeianus,-79.678125,35.189288
Lithobates catesbeianus,-118.882125,36.789388
Lithobates catesbeianus,-90.13565,30.54357
Lithobates catesbeianus,-95.292013,29.435703
Lithobates catesbeianus,-90.520049,30.480656
Lithobates catesbeianus,-106.71107,34.776078
Lithobates catesbeianus,-92.039383,37.559697
Lithobates catesbeianus,-119.100287,35.33353
Lithobates catesbeianus,-73.58963,45.119697
Lithobates catesbeianus,-122.137269,38.244412
Lithobates catesbeianus,-79.318456,39.575371
Lithobates catesbeianus,-76.726617,44.794395
Lithobates catesbeianus,-95.129789,29.572246
Lithobates catesbeianus,-81.853253,42.31095
Lithobates catesbeianus,-82.9607,40.113049
Lithobates catesbeianus,-79.606579,35.190209
Lithobates catesbeianus,-94.139503,30.007592
Lithobates catesbeianus,-122.66371,38.019381
Lithobates catesbeianus,-97.327197,37.362793
Lithobates catesbeianus,-83.725092,41.790483
Lithobates catesbeianus,-97.12177,32.787575
Lithobates catesbeianus,-79.14656,39.601064
Lithobates catesbeianus,-122.277825,46.946456
Lithobates catesbeianus,-80.016076,35.881782
Lithobates catesbeianus,-78.967747,36.046457
Lithobates catesbeianus,-95.070926,29.594805
Lithobates catesbeianus,-84.731164,38.996473
Lithobates catesbeianus,-95.739138,38.5227
Lithobates catesbeianus,-72.67768,45.418358
Lithobates catesbeianus,-85.282605,35.042577
Lithobates catesbeianus,-81.968628,28.498353
Lithobates catesbeianus,-82.971863,39.809628
Lithobates catesbeianus,-82.6447,29.3315
Lithobates catesbeianus,-86.612215,36.304141
Lithobates catesbeianus,-76.424599,38.188075
Lithobates catesbeianus,-100.082566,37.884102
Lithobates catesbeianus,-97.147155,33.242037
Lithobates catesbeianus,-88.085747,39.50482
Lithobates catesbeianus,-84.501469,36.131942
Lithobates catesbeianus,-99.307984,38.897845
Lithobates catesbeianus,-73.995858,40.702663
Lithobates catesbeianus,-79.953756,33.052044
Lithobates catesbeianus,-73.794852,40.728224
Lithobates catesbeianus,-79.61335,35.051347
Lithobates catesbeianus,-69.946715,43.871715
Lithobates catesbeianus,-117.240627,33.240119
Lithobates catesbeianus,-97.058754,33.239429
Lithobates catesbeianus,-78.319093,37.3103
Lithobates catesbeianus,-71.09406,42.834636
Lithobates catesbeianus,-122.413328,39.097687
Lithobates catesbeianus,-76.142217,36.868567
Lithobates catesbeianus,-121.435246,38.263055
Lithobates catesbeianus,-82.047461,28.48145
Lithobates catesbeianus,-81.355007,35.221855
Lithobates catesbeianus,-81.927829,29.290866
Lithobates catesbeianus,-120.281904,37.383889
Lithobates catesbeianus,-81.720963,33.532391
Lithobates catesbeianus,-81.641442,40.672587
Lithobates catesbeianus,-118.648745,34.41752
Lithobates catesbeianus,-79.036286,39.989742
Lithobates catesbeianus,-83.945245,33.511795
Lithobates catesbeianus,-83.859877,34.152116
Lithobates catesbeianus,-82.925667,35.52565
Lithobates catesbeianus,-117.256845,34.339172
Lithobates catesbeianus,-69.842597,44.048603
Lithobates catesbeianus,-74.443292,40.044792
Lithobates catesbeianus,-84.554159,34.321017
Lithobates catesbeianus,-122.155366,45.396461
Lithobates catesbeianus,-75.935722,38.954033
Lithobates catesbeianus,-122.297919,47.653726
Lithobates catesbeianus,-77.533642,38.268587
Lithobates catesbeianus,-93.272556,37.224319
Lithobates catesbeianus,-75.890059,40.499461
Lithobates catesbeianus,-94.604312,38.893386
Lithobates catesbeianus,-89.773615,35.26753
Lithobates catesbeianus,-88.86642,33.42128
Lithobates catesbeianus,-92.380904,34.987187
Lithobates catesbeianus,-80.768846,35.15772
Lithobates catesbeianus,-77.585049,37.623776
Lithobates catesbeianus,-88.146702,30.666389
Lithobates catesbeianus,-94.657475,38.989904
Lithobates catesbeianus,-79.413633,44.642596
Lithobates catesbeianus,-77.038907,38.483095
Lithobates catesbeianus,-90.342342,38.587202
Lithobates catesbeianus,-120.109412,37.226535
Lithobates catesbeianus,-71.624532,42.501435
Lithobates catesbeianus,-94.283311,39.042928
Lithobates catesbeianus,-97.066956,33.146996
Lithobates catesbeianus,-101.402188,19.351971
Lithobates catesbeianus,-78.450951,38.042908
Lithobates catesbeianus,-120.322151,38.019031
Lithobates catesbeianus,-122.492092,48.14456
Lithobates catesbeianus,-71.077434,42.058146
Lithobates catesbeianus,-95.63954,36.318729
Lithobates catesbeianus,-81.759448,36.804613
Lithobates catesbeianus,-95.404275,32.410867
Lithobates catesbeianus,-86.408031,35.851302
Lithobates catesbeianus,-81.292736,41.202092
Lithobates catesbeianus,-96.584014,40.632649
Lithobates catesbeianus,-78.261597,44.402236
Lithobates catesbeianus,-87.63292,41.91892
Lithobates catesbeianus,-94.778983,32.459433
Lithobates catesbeianus,-100.867912,32.65123
Lithobates catesbeianus,-82.76139,34.726099
Lithobates catesbeianus,-123.084003,44.918457
Lithobates catesbeianus,-76.417263,38.403255
Lithobates catesbeianus,-116.31887,32.538153
Lithobates catesbeianus,-81.915545,36.170303
Lithobates catesbeianus,-82.487492,42.230094
Lithobates catesbeianus,-94.634858,30.581385
Lithobates catesbeianus,-80.690765,35.21487
Lithobates catesbeianus,-79.46064,40.240451
Lithobates catesbeianus,-122.188189,47.590604
Lithobates catesbeianus,-70.133247,44.674933
Lithobates catesbeianus,-90.123505,29.79372
Lithobates catesbeianus,-122.318087,46.98347
Lithobates catesbeianus,-81.385729,41.159476
Lithobates catesbeianus,-74.630783,42.671806
Lithobates catesbeianus,-71.141819,42.371232
Lithobates catesbeianus,-76.418892,42.329475
Lithobates catesbeianus,-94.146798,30.501817
Lithobates catesbeianus,-83.297969,33.833443
Lithobates catesbeianus,-76.694467,37.643182
Lithobates catesbeianus,-80.410664,40.817378
Lithobates catesbeianus,-87.855545,41.098129
Lithobates catesbeianus,-81.247255,35.78014
Lithobates catesbeianus,-122.243944,37.893017
Lithobates catesbeianus,-95.572026,29.983699
Lithobates catesbeianus,-77.482428,43.046731
Lithobates catesbeianus,-105.044547,39.651512
Lithobates catesbeianus,-95.806889,38.377126
Lithobates catesbeianus,-78.446938,36.068104
Lithobates catesbeianus,-75.149808,40.125043
Lithobates catesbeianus,-122.624016,49.319389
Lithobates catesbeianus,-121.806507,37.337171
Lithobates catesbeianus,-121.780797,39.31078
Lithobates catesbeianus,-111.671142,33.539625
Lithobates catesbeianus,-65.783645,18.392355
Lithobates catesbeianus,-110.853828,31.497474
Lithobates catesbeianus,-80.681898,32.896344
Lithobates catesbeianus,-123.796805,48.778908
Lithobates catesbeianus,-83.807882,42.256015
Lithobates catesbeianus,-91.333622,30.483817
Lithobates catesbeianus,-78.824225,35.751147
Lithobates catesbeianus,-86.708492,38.993376
Lithobates catesbeianus,-110.956213,31.390526
Lithobates catesbeianus,-70.032416,41.746255
Lithobates catesbeianus,-75.763527,39.728707
Lithobates catesbeianus,-90.063767,32.470395
Lithobates catesbeianus,-77.974038,34.025786
Lithobates catesbeianus,-79.377673,40.51728
Lithobates catesbeianus,-122.796325,45.576479
Lithobates catesbeianus,-94.664786,38.619302
Lithobates catesbeianus,-84.261241,30.48006
Lithobates catesbeianus,-96.567541,32.467963
Lithobates catesbeianus,-68.328155,44.400917
Lithobates catesbeianus,-78.848793,35.644151
Lithobates catesbeianus,-84.64488,40.097681
Lithobates catesbeianus,-88.076089,30.248613
Lithobates catesbeianus,-83.841571,34.447121
Lithobates catesbeianus,-74.750746,39.809679
Lithobates catesbeianus,-78.632713,34.460332
Lithobates catesbeianus,-97.163801,32.930853
Lithobates catesbeianus,-85.113292,39.237314
Lithobates catesbeianus,-121.7284,39.805195
Lithobates catesbeianus,-84.443055,33.886392
Lithobates catesbeianus,-79.042705,35.951861
Lithobates catesbeianus,-97.928216,38.029949
Lithobates catesbeianus,-80.468118,35.494892
Lithobates catesbeianus,-72.516483,46.33515
Lithobates catesbeianus,-97.089522,30.032989
Lithobates catesbeianus,-82.333097,28.036713
Lithobates catesbeianus,-75.128885,39.763691
Lithobates catesbeianus,-86.781672,33.48582
Lithobates catesbeianus,-96.570067,29.081376
Lithobates catesbeianus,-69.45341,43.802052
